Requestor,Affiliation,Project,Date of approval,Request status,Public Research Use Statement,Technical Research Use Statement,accession,name
"Rose, Peter ","UNIVERSITY OF CALIFORNIA, SAN DIEGO",Analysis and Evaluation of RADx-rad Datasets,"Mar07, 2023",approved,"The National Institutes of Health launched the RADx? Radical program to support innovative, non-traditional diagnostic approaches to address gaps in COVID-19 testing and surveillance. This request is to support the evaluation of RADx-rad program outcomes by the RADx-rad Discoveries and Research Center (DCC).","This request supports the RADx-rad program outcomes evaluation by the RADx-rad Discoveries and Research Center (DCC). DCC facilitates âdata standardization, harmonization, integration, and analysis across RADx-rad projects and coordinates quality control, data curation, and analyses, and provides tools to monitor progress, performance, and use of the curated dataâ (RFA-OD-20-019). To fulfill these requirements, we will perform the following evaluations: 1. Measure the extent of shared data elements across (i) projects within the same or related FOA areas, (ii), projects across all RADx-rad. 2. Evaluate the quality and consistency of data submissions. 3. Compare the performance of diagnostic methods for analytical and clinical performance. 4. Correlate analytical with clinical performance. 5. Develop data analysis templates and use cases to demonstrate data integration across RADx-rad projects. 6. Evaluate the ease of use and capabilities of the NIH Data Hub to (i) access datasets, (ii) data dictionaries, (iii) develop and run data analyses (for # 1. â 5.) in the Data Hub workbench. ",phs002550.v1.p1,Rapid Acceleration of Diagnostics - Radical (RADx-rad): Direct    Bioelectronic Detection of SARS-CoV-2 From Saliva Using Singlemolecule    Field-effect Transistor Array
"Hong, Na ",YALE UNIVERSITY,Analysis and Evaluation of RADx-rad Datasets,"Aug23, 2023",approved,"The National Institutes of Health launched the RADx? Radical program to support innovative, non-traditional diagnostic approaches to address gaps in COVID-19 testing and surveillance. This request is to support the evaluation of RADx-rad program outcomes by the RADx-rad Discoveries and Research Center (DCC).","This request supports the RADx-rad program outcomes evaluation by the RADx-rad Discoveries and Research Center (DCC). DCC facilitates âdata standardization, harmonization, integration, and analysis across RADx-rad projects and coordinates quality control, data curation, and analyses, and provides tools to monitor progress, performance, and use of the curated dataâ (RFA-OD-20-019). To fulfill these requirements, we will perform the following evaluations: 1. Measure the extent of shared data elements across (i) projects within the same or related FOA areas, (ii), projects across all RADx-rad. 2. Evaluate the quality and consistency of data submissions. 3. Compare the performance of diagnostic methods for analytical and clinical performance. 4. Correlate analytical with clinical performance. 5. Develop data analysis templates and use cases to demonstrate data integration across RADx-rad projects. 6. Evaluate the ease of use and capabilities of the NIH Data Hub to (i) access datasets, (ii) data dictionaries, (iii) develop and run data analyses (for # 1. â 5.) in the Data Hub workbench.  Another aim of the project will be developing and applying tools to enable collaborative learning of heterogeneous data across multiple data collection sites. We will explore a combination of federated learning and secure computation strategies to train novel machine learning models that can effectively extract insights from distributed datasets in an interpretable manner.",phs002549.v1.p1,Rapid Acceleration of Diagnostics - Radical (RADx-rad): Severity    Predictors Using Immunology and Transcriptomics in Saliva Using Multi    Neural Network Intelligence in SARS-CoV2 Infection in Children (SPITS    MISC)
"Rose, Peter ","UNIVERSITY OF CALIFORNIA, SAN DIEGO",Analysis and Evaluation of RADx-rad Datasets,"Mar07, 2023",approved,"The National Institutes of Health launched the RADx? Radical program to support innovative, non-traditional diagnostic approaches to address gaps in COVID-19 testing and surveillance. This request is to support the evaluation of RADx-rad program outcomes by the RADx-rad Discoveries and Research Center (DCC).","This request supports the RADx-rad program outcomes evaluation by the RADx-rad Discoveries and Research Center (DCC). DCC facilitates âdata standardization, harmonization, integration, and analysis across RADx-rad projects and coordinates quality control, data curation, and analyses, and provides tools to monitor progress, performance, and use of the curated dataâ (RFA-OD-20-019). To fulfill these requirements, we will perform the following evaluations: 1. Measure the extent of shared data elements across (i) projects within the same or related FOA areas, (ii), projects across all RADx-rad. 2. Evaluate the quality and consistency of data submissions. 3. Compare the performance of diagnostic methods for analytical and clinical performance. 4. Correlate analytical with clinical performance. 5. Develop data analysis templates and use cases to demonstrate data integration across RADx-rad projects. 6. Evaluate the ease of use and capabilities of the NIH Data Hub to (i) access datasets, (ii) data dictionaries, (iii) develop and run data analyses (for # 1. â 5.) in the Data Hub workbench. ",phs002549.v1.p1,Rapid Acceleration of Diagnostics - Radical (RADx-rad): Severity    Predictors Using Immunology and Transcriptomics in Saliva Using Multi    Neural Network Intelligence in SARS-CoV2 Infection in Children (SPITS    MISC)
"Hong, Na ",YALE UNIVERSITY,Analysis and Evaluation of RADx-rad Datasets,"Aug23, 2023",approved,"The National Institutes of Health launched the RADx? Radical program to support innovative, non-traditional diagnostic approaches to address gaps in COVID-19 testing and surveillance. This request is to support the evaluation of RADx-rad program outcomes by the RADx-rad Discoveries and Research Center (DCC).","This request supports the RADx-rad program outcomes evaluation by the RADx-rad Discoveries and Research Center (DCC). DCC facilitates âdata standardization, harmonization, integration, and analysis across RADx-rad projects and coordinates quality control, data curation, and analyses, and provides tools to monitor progress, performance, and use of the curated dataâ (RFA-OD-20-019). To fulfill these requirements, we will perform the following evaluations: 1. Measure the extent of shared data elements across (i) projects within the same or related FOA areas, (ii), projects across all RADx-rad. 2. Evaluate the quality and consistency of data submissions. 3. Compare the performance of diagnostic methods for analytical and clinical performance. 4. Correlate analytical with clinical performance. 5. Develop data analysis templates and use cases to demonstrate data integration across RADx-rad projects. 6. Evaluate the ease of use and capabilities of the NIH Data Hub to (i) access datasets, (ii) data dictionaries, (iii) develop and run data analyses (for # 1. â 5.) in the Data Hub workbench.  Another aim of the project will be developing and applying tools to enable collaborative learning of heterogeneous data across multiple data collection sites. We will explore a combination of federated learning and secure computation strategies to train novel machine learning models that can effectively extract insights from distributed datasets in an interpretable manner.",phs002546.v1.p1,Rapid Acceleration of Diagnostics - Radical (RADx-rad): Development of an    Automated Diagnostic Platform for SARS-CoV-2 Monitoring in Vulnerable    Areas
"Rose, Peter ","UNIVERSITY OF CALIFORNIA, SAN DIEGO",Analysis and Evaluation of RADx-rad Datasets,"Mar07, 2023",approved,"The National Institutes of Health launched the RADx? Radical program to support innovative, non-traditional diagnostic approaches to address gaps in COVID-19 testing and surveillance. This request is to support the evaluation of RADx-rad program outcomes by the RADx-rad Discoveries and Research Center (DCC).","This request supports the RADx-rad program outcomes evaluation by the RADx-rad Discoveries and Research Center (DCC). DCC facilitates âdata standardization, harmonization, integration, and analysis across RADx-rad projects and coordinates quality control, data curation, and analyses, and provides tools to monitor progress, performance, and use of the curated dataâ (RFA-OD-20-019). To fulfill these requirements, we will perform the following evaluations: 1. Measure the extent of shared data elements across (i) projects within the same or related FOA areas, (ii), projects across all RADx-rad. 2. Evaluate the quality and consistency of data submissions. 3. Compare the performance of diagnostic methods for analytical and clinical performance. 4. Correlate analytical with clinical performance. 5. Develop data analysis templates and use cases to demonstrate data integration across RADx-rad projects. 6. Evaluate the ease of use and capabilities of the NIH Data Hub to (i) access datasets, (ii) data dictionaries, (iii) develop and run data analyses (for # 1. â 5.) in the Data Hub workbench. ",phs002546.v1.p1,Rapid Acceleration of Diagnostics - Radical (RADx-rad): Development of an    Automated Diagnostic Platform for SARS-CoV-2 Monitoring in Vulnerable    Areas
"Hong, Na ",YALE UNIVERSITY,Analysis and Evaluation of RADx-rad Datasets,"Aug23, 2023",approved,"The National Institutes of Health launched the RADx? Radical program to support innovative, non-traditional diagnostic approaches to address gaps in COVID-19 testing and surveillance. This request is to support the evaluation of RADx-rad program outcomes by the RADx-rad Discoveries and Research Center (DCC).","This request supports the RADx-rad program outcomes evaluation by the RADx-rad Discoveries and Research Center (DCC). DCC facilitates âdata standardization, harmonization, integration, and analysis across RADx-rad projects and coordinates quality control, data curation, and analyses, and provides tools to monitor progress, performance, and use of the curated dataâ (RFA-OD-20-019). To fulfill these requirements, we will perform the following evaluations: 1. Measure the extent of shared data elements across (i) projects within the same or related FOA areas, (ii), projects across all RADx-rad. 2. Evaluate the quality and consistency of data submissions. 3. Compare the performance of diagnostic methods for analytical and clinical performance. 4. Correlate analytical with clinical performance. 5. Develop data analysis templates and use cases to demonstrate data integration across RADx-rad projects. 6. Evaluate the ease of use and capabilities of the NIH Data Hub to (i) access datasets, (ii) data dictionaries, (iii) develop and run data analyses (for # 1. â 5.) in the Data Hub workbench.  Another aim of the project will be developing and applying tools to enable collaborative learning of heterogeneous data across multiple data collection sites. We will explore a combination of federated learning and secure computation strategies to train novel machine learning models that can effectively extract insights from distributed datasets in an interpretable manner.",phs002544.v1.p1,Rapid Acceleration of Diagnostics - Radical (RADx-rad): AFS/SERS    Saliva-Based SARS-CoV-2 Earliest Infection and Antibodies Detection
"Rose, Peter ","UNIVERSITY OF CALIFORNIA, SAN DIEGO",Analysis and Evaluation of RADx-rad Datasets,"Mar07, 2023",approved,"The National Institutes of Health launched the RADx? Radical program to support innovative, non-traditional diagnostic approaches to address gaps in COVID-19 testing and surveillance. This request is to support the evaluation of RADx-rad program outcomes by the RADx-rad Discoveries and Research Center (DCC).","This request supports the RADx-rad program outcomes evaluation by the RADx-rad Discoveries and Research Center (DCC). DCC facilitates âdata standardization, harmonization, integration, and analysis across RADx-rad projects and coordinates quality control, data curation, and analyses, and provides tools to monitor progress, performance, and use of the curated dataâ (RFA-OD-20-019). To fulfill these requirements, we will perform the following evaluations: 1. Measure the extent of shared data elements across (i) projects within the same or related FOA areas, (ii), projects across all RADx-rad. 2. Evaluate the quality and consistency of data submissions. 3. Compare the performance of diagnostic methods for analytical and clinical performance. 4. Correlate analytical with clinical performance. 5. Develop data analysis templates and use cases to demonstrate data integration across RADx-rad projects. 6. Evaluate the ease of use and capabilities of the NIH Data Hub to (i) access datasets, (ii) data dictionaries, (iii) develop and run data analyses (for # 1. â 5.) in the Data Hub workbench. ",phs002544.v1.p1,Rapid Acceleration of Diagnostics - Radical (RADx-rad): AFS/SERS    Saliva-Based SARS-CoV-2 Earliest Infection and Antibodies Detection
"Hong, Na ",YALE UNIVERSITY,Analysis and Evaluation of RADx-rad Datasets,"Aug23, 2023",approved,"The National Institutes of Health launched the RADx? Radical program to support innovative, non-traditional diagnostic approaches to address gaps in COVID-19 testing and surveillance. This request is to support the evaluation of RADx-rad program outcomes by the RADx-rad Discoveries and Research Center (DCC).","This request supports the RADx-rad program outcomes evaluation by the RADx-rad Discoveries and Research Center (DCC). DCC facilitates âdata standardization, harmonization, integration, and analysis across RADx-rad projects and coordinates quality control, data curation, and analyses, and provides tools to monitor progress, performance, and use of the curated dataâ (RFA-OD-20-019). To fulfill these requirements, we will perform the following evaluations: 1. Measure the extent of shared data elements across (i) projects within the same or related FOA areas, (ii), projects across all RADx-rad. 2. Evaluate the quality and consistency of data submissions. 3. Compare the performance of diagnostic methods for analytical and clinical performance. 4. Correlate analytical with clinical performance. 5. Develop data analysis templates and use cases to demonstrate data integration across RADx-rad projects. 6. Evaluate the ease of use and capabilities of the NIH Data Hub to (i) access datasets, (ii) data dictionaries, (iii) develop and run data analyses (for # 1. â 5.) in the Data Hub workbench.  Another aim of the project will be developing and applying tools to enable collaborative learning of heterogeneous data across multiple data collection sites. We will explore a combination of federated learning and secure computation strategies to train novel machine learning models that can effectively extract insights from distributed datasets in an interpretable manner.",phs002543.v1.p1,Rapid Acceleration of Diagnostics - Radical (RADx-rad): Minimal    False-Alarm Touch-Based Detection of SARS-CoV-2 Virus Particles Using    Poly-Aptamers
"Rose, Peter ","UNIVERSITY OF CALIFORNIA, SAN DIEGO",Analysis and Evaluation of RADx-rad Datasets,"Mar07, 2023",approved,"The National Institutes of Health launched the RADx? Radical program to support innovative, non-traditional diagnostic approaches to address gaps in COVID-19 testing and surveillance. This request is to support the evaluation of RADx-rad program outcomes by the RADx-rad Discoveries and Research Center (DCC).","This request supports the RADx-rad program outcomes evaluation by the RADx-rad Discoveries and Research Center (DCC). DCC facilitates âdata standardization, harmonization, integration, and analysis across RADx-rad projects and coordinates quality control, data curation, and analyses, and provides tools to monitor progress, performance, and use of the curated dataâ (RFA-OD-20-019). To fulfill these requirements, we will perform the following evaluations: 1. Measure the extent of shared data elements across (i) projects within the same or related FOA areas, (ii), projects across all RADx-rad. 2. Evaluate the quality and consistency of data submissions. 3. Compare the performance of diagnostic methods for analytical and clinical performance. 4. Correlate analytical with clinical performance. 5. Develop data analysis templates and use cases to demonstrate data integration across RADx-rad projects. 6. Evaluate the ease of use and capabilities of the NIH Data Hub to (i) access datasets, (ii) data dictionaries, (iii) develop and run data analyses (for # 1. â 5.) in the Data Hub workbench. ",phs002543.v1.p1,Rapid Acceleration of Diagnostics - Radical (RADx-rad): Minimal    False-Alarm Touch-Based Detection of SARS-CoV-2 Virus Particles Using    Poly-Aptamers
"Hong, Na ",YALE UNIVERSITY,Analysis and Evaluation of RADx-rad Datasets,"Aug23, 2023",approved,"The National Institutes of Health launched the RADx? Radical program to support innovative, non-traditional diagnostic approaches to address gaps in COVID-19 testing and surveillance. This request is to support the evaluation of RADx-rad program outcomes by the RADx-rad Discoveries and Research Center (DCC).","This request supports the RADx-rad program outcomes evaluation by the RADx-rad Discoveries and Research Center (DCC). DCC facilitates âdata standardization, harmonization, integration, and analysis across RADx-rad projects and coordinates quality control, data curation, and analyses, and provides tools to monitor progress, performance, and use of the curated dataâ (RFA-OD-20-019). To fulfill these requirements, we will perform the following evaluations: 1. Measure the extent of shared data elements across (i) projects within the same or related FOA areas, (ii), projects across all RADx-rad. 2. Evaluate the quality and consistency of data submissions. 3. Compare the performance of diagnostic methods for analytical and clinical performance. 4. Correlate analytical with clinical performance. 5. Develop data analysis templates and use cases to demonstrate data integration across RADx-rad projects. 6. Evaluate the ease of use and capabilities of the NIH Data Hub to (i) access datasets, (ii) data dictionaries, (iii) develop and run data analyses (for # 1. â 5.) in the Data Hub workbench.  Another aim of the project will be developing and applying tools to enable collaborative learning of heterogeneous data across multiple data collection sites. We will explore a combination of federated learning and secure computation strategies to train novel machine learning models that can effectively extract insights from distributed datasets in an interpretable manner.",phs002542.v1.p1,Rapid Acceleration of Diagnostics - Radical (RADx-rad): Wastewater    Assessment for Coronavirus in Kentucky: Implementing Enhanced    Surveillance Technology
"Rose, Peter ","UNIVERSITY OF CALIFORNIA, SAN DIEGO",Analysis and Evaluation of RADx-rad Datasets,"Mar07, 2023",approved,"The National Institutes of Health launched the RADx? Radical program to support innovative, non-traditional diagnostic approaches to address gaps in COVID-19 testing and surveillance. This request is to support the evaluation of RADx-rad program outcomes by the RADx-rad Discoveries and Research Center (DCC).","This request supports the RADx-rad program outcomes evaluation by the RADx-rad Discoveries and Research Center (DCC). DCC facilitates âdata standardization, harmonization, integration, and analysis across RADx-rad projects and coordinates quality control, data curation, and analyses, and provides tools to monitor progress, performance, and use of the curated dataâ (RFA-OD-20-019). To fulfill these requirements, we will perform the following evaluations: 1. Measure the extent of shared data elements across (i) projects within the same or related FOA areas, (ii), projects across all RADx-rad. 2. Evaluate the quality and consistency of data submissions. 3. Compare the performance of diagnostic methods for analytical and clinical performance. 4. Correlate analytical with clinical performance. 5. Develop data analysis templates and use cases to demonstrate data integration across RADx-rad projects. 6. Evaluate the ease of use and capabilities of the NIH Data Hub to (i) access datasets, (ii) data dictionaries, (iii) develop and run data analyses (for # 1. â 5.) in the Data Hub workbench. ",phs002542.v1.p1,Rapid Acceleration of Diagnostics - Radical (RADx-rad): Wastewater    Assessment for Coronavirus in Kentucky: Implementing Enhanced    Surveillance Technology
"Hong, Na ",YALE UNIVERSITY,Analysis and Evaluation of RADx-rad Datasets,"Aug23, 2023",approved,"The National Institutes of Health launched the RADx? Radical program to support innovative, non-traditional diagnostic approaches to address gaps in COVID-19 testing and surveillance. This request is to support the evaluation of RADx-rad program outcomes by the RADx-rad Discoveries and Research Center (DCC).","This request supports the RADx-rad program outcomes evaluation by the RADx-rad Discoveries and Research Center (DCC). DCC facilitates âdata standardization, harmonization, integration, and analysis across RADx-rad projects and coordinates quality control, data curation, and analyses, and provides tools to monitor progress, performance, and use of the curated dataâ (RFA-OD-20-019). To fulfill these requirements, we will perform the following evaluations: 1. Measure the extent of shared data elements across (i) projects within the same or related FOA areas, (ii), projects across all RADx-rad. 2. Evaluate the quality and consistency of data submissions. 3. Compare the performance of diagnostic methods for analytical and clinical performance. 4. Correlate analytical with clinical performance. 5. Develop data analysis templates and use cases to demonstrate data integration across RADx-rad projects. 6. Evaluate the ease of use and capabilities of the NIH Data Hub to (i) access datasets, (ii) data dictionaries, (iii) develop and run data analyses (for # 1. â 5.) in the Data Hub workbench.  Another aim of the project will be developing and applying tools to enable collaborative learning of heterogeneous data across multiple data collection sites. We will explore a combination of federated learning and secure computation strategies to train novel machine learning models that can effectively extract insights from distributed datasets in an interpretable manner.",phs002527.v1.p1,Rapid Acceleration of Diagnostics - Radical (RADx-rad): Bioinformatics    Framework for Wastewater-based Surveillance of Infectious Diseases
"Rose, Peter ","UNIVERSITY OF CALIFORNIA, SAN DIEGO",Analysis and Evaluation of RADx-rad Datasets,"Mar07, 2023",approved,"The National Institutes of Health launched the RADx? Radical program to support innovative, non-traditional diagnostic approaches to address gaps in COVID-19 testing and surveillance. This request is to support the evaluation of RADx-rad program outcomes by the RADx-rad Discoveries and Research Center (DCC).","This request supports the RADx-rad program outcomes evaluation by the RADx-rad Discoveries and Research Center (DCC). DCC facilitates âdata standardization, harmonization, integration, and analysis across RADx-rad projects and coordinates quality control, data curation, and analyses, and provides tools to monitor progress, performance, and use of the curated dataâ (RFA-OD-20-019). To fulfill these requirements, we will perform the following evaluations: 1. Measure the extent of shared data elements across (i) projects within the same or related FOA areas, (ii), projects across all RADx-rad. 2. Evaluate the quality and consistency of data submissions. 3. Compare the performance of diagnostic methods for analytical and clinical performance. 4. Correlate analytical with clinical performance. 5. Develop data analysis templates and use cases to demonstrate data integration across RADx-rad projects. 6. Evaluate the ease of use and capabilities of the NIH Data Hub to (i) access datasets, (ii) data dictionaries, (iii) develop and run data analyses (for # 1. â 5.) in the Data Hub workbench. ",phs002527.v1.p1,Rapid Acceleration of Diagnostics - Radical (RADx-rad): Bioinformatics    Framework for Wastewater-based Surveillance of Infectious Diseases
"Ciofani, Danielle ","BROAD INSTITUTE, INC.",Testing Data Access for RADx developer (2),"Dec12, 2022",expired,I will be confirming data access using the Hub.    ,I am testing data access for select RADx program data. I will be using the Data Hub to access the data. ,phs002525.v1.p1,Rapid Acceleration of Diagnostics - Radical (RADx-rad): SF-RAD:    Development and Proof-of-Concept Implementation of the South Florida    Miami RADx-rad SARS-CoV-2 Wastewater-Based Surveillance Infrastructure
"Hong, Na ",YALE UNIVERSITY,Analysis and Evaluation of RADx-rad Datasets,"Aug23, 2023",approved,"The National Institutes of Health launched the RADx? Radical program to support innovative, non-traditional diagnostic approaches to address gaps in COVID-19 testing and surveillance. This request is to support the evaluation of RADx-rad program outcomes by the RADx-rad Discoveries and Research Center (DCC).","This request supports the RADx-rad program outcomes evaluation by the RADx-rad Discoveries and Research Center (DCC). DCC facilitates âdata standardization, harmonization, integration, and analysis across RADx-rad projects and coordinates quality control, data curation, and analyses, and provides tools to monitor progress, performance, and use of the curated dataâ (RFA-OD-20-019). To fulfill these requirements, we will perform the following evaluations: 1. Measure the extent of shared data elements across (i) projects within the same or related FOA areas, (ii), projects across all RADx-rad. 2. Evaluate the quality and consistency of data submissions. 3. Compare the performance of diagnostic methods for analytical and clinical performance. 4. Correlate analytical with clinical performance. 5. Develop data analysis templates and use cases to demonstrate data integration across RADx-rad projects. 6. Evaluate the ease of use and capabilities of the NIH Data Hub to (i) access datasets, (ii) data dictionaries, (iii) develop and run data analyses (for # 1. â 5.) in the Data Hub workbench.  Another aim of the project will be developing and applying tools to enable collaborative learning of heterogeneous data across multiple data collection sites. We will explore a combination of federated learning and secure computation strategies to train novel machine learning models that can effectively extract insights from distributed datasets in an interpretable manner.",phs002525.v1.p1,Rapid Acceleration of Diagnostics - Radical (RADx-rad): SF-RAD:    Development and Proof-of-Concept Implementation of the South Florida    Miami RADx-rad SARS-CoV-2 Wastewater-Based Surveillance Infrastructure
"Rose, Peter ","UNIVERSITY OF CALIFORNIA, SAN DIEGO",Analysis and Evaluation of RADx-rad Datasets,"Mar07, 2023",approved,"The National Institutes of Health launched the RADx? Radical program to support innovative, non-traditional diagnostic approaches to address gaps in COVID-19 testing and surveillance. This request is to support the evaluation of RADx-rad program outcomes by the RADx-rad Discoveries and Research Center (DCC).","This request supports the RADx-rad program outcomes evaluation by the RADx-rad Discoveries and Research Center (DCC). DCC facilitates âdata standardization, harmonization, integration, and analysis across RADx-rad projects and coordinates quality control, data curation, and analyses, and provides tools to monitor progress, performance, and use of the curated dataâ (RFA-OD-20-019). To fulfill these requirements, we will perform the following evaluations: 1. Measure the extent of shared data elements across (i) projects within the same or related FOA areas, (ii), projects across all RADx-rad. 2. Evaluate the quality and consistency of data submissions. 3. Compare the performance of diagnostic methods for analytical and clinical performance. 4. Correlate analytical with clinical performance. 5. Develop data analysis templates and use cases to demonstrate data integration across RADx-rad projects. 6. Evaluate the ease of use and capabilities of the NIH Data Hub to (i) access datasets, (ii) data dictionaries, (iii) develop and run data analyses (for # 1. â 5.) in the Data Hub workbench. ",phs002525.v1.p1,Rapid Acceleration of Diagnostics - Radical (RADx-rad): SF-RAD:    Development and Proof-of-Concept Implementation of the South Florida    Miami RADx-rad SARS-CoV-2 Wastewater-Based Surveillance Infrastructure
"Solo-Gabriele, Helena ",UNIVERSITY OF MIAMI CORAL GABLES,Request to access SF-RAD: Development of Proof-of-Concept,"Jul26, 2023",approved,I am the Principal Investigator for the project and I would like to download the data to see how it looks from the user's perspective.  This will help us improve the data upload.,I am the Principal Investigator for the project and I would like to download the data to see how it looks from the user's perspective.  This will help us improve the data upload.,phs002525.v1.p1,Rapid Acceleration of Diagnostics - Radical (RADx-rad): SF-RAD:    Development and Proof-of-Concept Implementation of the South Florida    Miami RADx-rad SARS-CoV-2 Wastewater-Based Surveillance Infrastructure
"Hong, Na ",YALE UNIVERSITY,Analysis and Evaluation of RADx-rad Datasets,"Aug23, 2023",approved,"The National Institutes of Health launched the RADx? Radical program to support innovative, non-traditional diagnostic approaches to address gaps in COVID-19 testing and surveillance. This request is to support the evaluation of RADx-rad program outcomes by the RADx-rad Discoveries and Research Center (DCC).","This request supports the RADx-rad program outcomes evaluation by the RADx-rad Discoveries and Research Center (DCC). DCC facilitates âdata standardization, harmonization, integration, and analysis across RADx-rad projects and coordinates quality control, data curation, and analyses, and provides tools to monitor progress, performance, and use of the curated dataâ (RFA-OD-20-019). To fulfill these requirements, we will perform the following evaluations: 1. Measure the extent of shared data elements across (i) projects within the same or related FOA areas, (ii), projects across all RADx-rad. 2. Evaluate the quality and consistency of data submissions. 3. Compare the performance of diagnostic methods for analytical and clinical performance. 4. Correlate analytical with clinical performance. 5. Develop data analysis templates and use cases to demonstrate data integration across RADx-rad projects. 6. Evaluate the ease of use and capabilities of the NIH Data Hub to (i) access datasets, (ii) data dictionaries, (iii) develop and run data analyses (for # 1. â 5.) in the Data Hub workbench.  Another aim of the project will be developing and applying tools to enable collaborative learning of heterogeneous data across multiple data collection sites. We will explore a combination of federated learning and secure computation strategies to train novel machine learning models that can effectively extract insights from distributed datasets in an interpretable manner.",phs002524.v1.p1,Rapid Acceleration of Diagnostics - Radical (RADx-rad): Validation of    Smart Masks for Surveillance of COVID-19
"Rose, Peter ","UNIVERSITY OF CALIFORNIA, SAN DIEGO",Analysis and Evaluation of RADx-rad Datasets,"Mar07, 2023",approved,"The National Institutes of Health launched the RADx? Radical program to support innovative, non-traditional diagnostic approaches to address gaps in COVID-19 testing and surveillance. This request is to support the evaluation of RADx-rad program outcomes by the RADx-rad Discoveries and Research Center (DCC).","This request supports the RADx-rad program outcomes evaluation by the RADx-rad Discoveries and Research Center (DCC). DCC facilitates âdata standardization, harmonization, integration, and analysis across RADx-rad projects and coordinates quality control, data curation, and analyses, and provides tools to monitor progress, performance, and use of the curated dataâ (RFA-OD-20-019). To fulfill these requirements, we will perform the following evaluations: 1. Measure the extent of shared data elements across (i) projects within the same or related FOA areas, (ii), projects across all RADx-rad. 2. Evaluate the quality and consistency of data submissions. 3. Compare the performance of diagnostic methods for analytical and clinical performance. 4. Correlate analytical with clinical performance. 5. Develop data analysis templates and use cases to demonstrate data integration across RADx-rad projects. 6. Evaluate the ease of use and capabilities of the NIH Data Hub to (i) access datasets, (ii) data dictionaries, (iii) develop and run data analyses (for # 1. â 5.) in the Data Hub workbench. ",phs002524.v1.p1,Rapid Acceleration of Diagnostics - Radical (RADx-rad): Validation of    Smart Masks for Surveillance of COVID-19
"Anwar, Mohd Mozharul",NIH,Exploration of Wearable Device Data for COVID-19 ,"Mar27, 2023",approved,"Wearable devices collect various physiological signals and measurements such as heart-beat rate, respiration rate, sleep, and body movement. This study explores wearable device data for detection, risk measurement, or prediction of disease like COVID-19.","The objective of the proposed research is to explore how wearable device data from different sources can be aggregated and analyzed to draw meaningful scientific insights, such as detection, risk stratification, or prediction of disease. The datasets will be utilized to build various machine learning/deep learning models. In the process, the datasets will be standardized, normalized, and harmonized. Furthermore, it will be studied how to leverage survey data in interpreting wearable device data. The different models will be compared on the basis of various performance metrics.",phs002523.v1.p1,Rapid Acceleration of Diagnostics - Radical (RADx-rad): Multi-Modal    Wireless COVID Monitoring and Infection Alerts for Concentrated    Populations
"Hong, Na ",YALE UNIVERSITY,Analysis and Evaluation of RADx-rad Datasets,"Aug23, 2023",approved,"The National Institutes of Health launched the RADx? Radical program to support innovative, non-traditional diagnostic approaches to address gaps in COVID-19 testing and surveillance. This request is to support the evaluation of RADx-rad program outcomes by the RADx-rad Discoveries and Research Center (DCC).","This request supports the RADx-rad program outcomes evaluation by the RADx-rad Discoveries and Research Center (DCC). DCC facilitates âdata standardization, harmonization, integration, and analysis across RADx-rad projects and coordinates quality control, data curation, and analyses, and provides tools to monitor progress, performance, and use of the curated dataâ (RFA-OD-20-019). To fulfill these requirements, we will perform the following evaluations: 1. Measure the extent of shared data elements across (i) projects within the same or related FOA areas, (ii), projects across all RADx-rad. 2. Evaluate the quality and consistency of data submissions. 3. Compare the performance of diagnostic methods for analytical and clinical performance. 4. Correlate analytical with clinical performance. 5. Develop data analysis templates and use cases to demonstrate data integration across RADx-rad projects. 6. Evaluate the ease of use and capabilities of the NIH Data Hub to (i) access datasets, (ii) data dictionaries, (iii) develop and run data analyses (for # 1. â 5.) in the Data Hub workbench.  Another aim of the project will be developing and applying tools to enable collaborative learning of heterogeneous data across multiple data collection sites. We will explore a combination of federated learning and secure computation strategies to train novel machine learning models that can effectively extract insights from distributed datasets in an interpretable manner.",phs002523.v1.p1,Rapid Acceleration of Diagnostics - Radical (RADx-rad): Multi-Modal    Wireless COVID Monitoring and Infection Alerts for Concentrated    Populations
